Customer_ID,Age,Shade,Purchase_Date,Price_NPR,Brand
154,25,Dark Brown,2023-08-13,700,L’Oreal
155,22,Copper,2023-05-22,750,Streax
156,22,Copper,2024-06-05,900,Garnier
157,26,Blue Black,2024-05-20,550,Revlon
158,24,Red Wine,2023-04-04,700,Garnier
159,25,Red Wine,2025-02-12,800,Godrej
160,25,Dark Brown,2023-02-18,850,Godrej
161,27,Burgundy,2025-05-31,700,BBlunt
162,28,Ash Brown,2023-04-23,750,Schwarzkopf
163,18,Mahogany,2023-06-06,650,L’Oreal
164,22,Mahogany,2024-10-04,750,L’Oreal
165,16,Burgundy,2023-06-13,600,Revlon
166,19,Blue Black,2025-03-22,900,BBlunt
167,28,Mahogany,2024-11-27,850,L’Oreal
168,19,Dark Brown,2024-03-08,600,Schwarzkopf
169,20,Mahogany,2024-09-02,700,Godrej
170,22,Copper,2023-03-07,700,BBlunt
171,22,Copper,2024-01-30,750,Garnier
172,28,Blonde,2024-01-26,750,Streax
173,26,Ash Brown,2024-09-02,800,Streax
174,28,Blue Black,2024-04-24,550,BBlunt
175,19,Red Wine,2024-06-25,800,BBlunt
176,28,Ash Brown,2023-09-15,600,Schwarzkopf
177,22,Blue Black,2024-07-20,800,Schwarzkopf
178,26,Mahogany,2025-05-31,750,L’Oreal
179,18,Blonde,2023-01-12,850,Streax
180,21,Ash Brown,2024-11-27,800,Revlon
181,27,Mahogany,2025-01-08,650,Revlon
182,17,Blue Black,2023-04-28,900,Schwarzkopf
183,25,Ash Brown,2024-11-29,550,L’Oreal
184,28,Red Wine,2024-07-03,750,L’Oreal
185,24,Ash Brown,2025-02-07,850,L’Oreal
186,20,Mahogany,2023-10-01,700,Schwarzkopf
187,21,Dark Brown,2025-02-26,900,Revlon
188,27,Dark Brown,2024-10-18,800,L’Oreal
189,27,Ash Brown,2023-12-15,750,Schwarzkopf
190,27,Red Wine,2023-04-25,700,Garnier
191,27,Blonde,2023-10-28,700,Garnier
192,19,Blonde,2024-03-21,600,Godrej
193,26,Dark Brown,2023-06-11,600,Garnier
194,25,Mahogany,2024-04-09,850,BBlunt
195,22,Blue Black,2023-01-04,750,Godrej
196,27,Mahogany,2025-01-09,900,Garnier
197,24,Blonde,2025-01-06,850,BBlunt
198,22,Burgundy,2023-09-27,750,Garnier
199,16,Burgundy,2024-05-27,650,Schwarzkopf
200,16,Ash Brown,2025-02-19,550,Streax
201,24,Red Wine,2023-07-02,550,BBlunt
202,26,Dark Brown,2024-06-03,900,L’Oreal
203,24,Copper,2023-04-19,750,Schwarzkopf
204,19,Copper,2024-10-02,600,Streax
205,28,Copper,2023-11-02,900,BBlunt
206,24,Ash Brown,2025-05-11,800,Schwarzkopf
207,18,Burgundy,2024-10-16,850,L’Oreal
208,22,Blonde,2024-06-03,650,BBlunt
209,21,Ash Brown,2024-09-15,550,BBlunt
210,23,Copper,2023-07-23,750,Streax
211,26,Copper,2023-06-06,600,Schwarzkopf
212,24,Dark Brown,2024-01-18,600,Garnier
213,20,Mahogany,2025-02-19,600,BBlunt
214,16,Copper,2023-06-15,850,Garnier
215,18,Red Wine,2024-07-06,800,BBlunt
216,25,Copper,2025-03-08,700,Revlon
217,27,Mahogany,2024-06-27,900,Godrej
218,23,Copper,2023-01-01,850,Garnier
219,26,Red Wine,2024-09-05,800,Garnier
220,21,Blonde,2023-11-28,600,Streax
221,23,Ash Brown,2024-05-15,750,L’Oreal
222,24,Red Wine,2023-01-20,900,Revlon
223,19,Mahogany,2023-04-25,650,L’Oreal
224,16,Ash Brown,2024-01-07,800,Revlon
225,16,Ash Brown,2025-05-01,750,Revlon
226,25,Mahogany,2025-04-06,850,Schwarzkopf
227,19,Dark Brown,2023-11-11,850,Schwarzkopf
228,27,Burgundy,2023-09-03,900,Schwarzkopf
229,22,Copper,2023-03-01,600,BBlunt
230,17,Red Wine,2023-09-04,650,Streax
231,18,Mahogany,2024-08-03,550,L’Oreal
232,16,Blonde,2023-03-22,550,Godrej
233,20,Blue Black,2023-03-29,850,Revlon
234,16,Mahogany,2025-01-19,750,Revlon
235,23,Copper,2024-05-12,650,Streax
236,16,Copper,2025-04-15,750,Garnier
237,26,Ash Brown,2023-03-12,650,BBlunt
238,16,Ash Brown,2025-02-17,650,Godrej
239,17,Mahogany,2024-06-29,850,Schwarzkopf
240,17,Blue Black,2025-02-23,750,Revlon
241,27,Dark Brown,2023-05-09,850,Garnier
242,21,Mahogany,2023-05-12,900,L’Oreal
243,22,Blue Black,2024-11-06,650,Revlon
244,20,Dark Brown,2024-05-01,800,Garnier
245,16,Blue Black,2024-07-16,600,L’Oreal
246,16,Copper,2023-06-19,900,BBlunt
247,18,Copper,2023-09-29,650,Schwarzkopf
248,17,Copper,2024-06-24,800,Streax
249,20,Blonde,2024-09-13,650,L’Oreal
250,27,Copper,2024-03-09,800,Revlon
251,25,Red Wine,2023-08-05,750,Godrej
252,21,Ash Brown,2024-07-06,550,L’Oreal
253,22,Ash Brown,2025-02-12,700,Godrej
254,19,Blue Black,2025-01-17,900,Godrej
255,22,Ash Brown,2024-12-07,650,L’Oreal
256,26,Burgundy,2023-07-25,700,Streax
257,23,Dark Brown,2024-12-31,650,Streax
258,26,Blue Black,2023-11-16,750,BBlunt
259,16,Ash Brown,2024-02-13,750,Streax
260,21,Burgundy,2024-11-18,800,L’Oreal
261,23,Dark Brown,2024-10-27,650,Streax
262,20,Blonde,2024-01-18,750,Garnier
263,19,Ash Brown,2024-03-24,750,Schwarzkopf
264,17,Burgundy,2024-06-13,650,Godrej
265,21,Mahogany,2024-04-07,800,Schwarzkopf
266,21,Red Wine,2023-05-04,800,Revlon
267,26,Mahogany,2023-09-11,800,Godrej
268,16,Burgundy,2023-08-19,800,Revlon
269,24,Blue Black,2023-03-07,550,Garnier
270,27,Copper,2023-12-13,650,Garnier
271,26,Copper,2023-01-22,850,Schwarzkopf
272,21,Copper,2024-08-25,550,Garnier
273,28,Dark Brown,2024-07-21,750,L’Oreal
274,18,Blue Black,2023-08-24,550,Godrej
275,19,Dark Brown,2024-08-25,900,Revlon
276,27,Ash Brown,2023-08-14,850,Streax
277,26,Copper,2023-01-08,850,Schwarzkopf
278,19,Mahogany,2023-03-14,850,Schwarzkopf
279,18,Blue Black,2024-12-25,800,Garnier
280,25,Blue Black,2024-10-08,750,Garnier
281,18,Copper,2023-03-02,550,Revlon
282,18,Mahogany,2023-08-23,550,Godrej
283,19,Blonde,2023-03-11,900,Godrej
284,22,Blue Black,2023-02-02,650,Schwarzkopf
285,19,Copper,2025-05-30,550,Revlon
286,24,Red Wine,2023-12-05,900,Schwarzkopf
287,16,Burgundy,2023-03-14,750,Streax
288,23,Dark Brown,2024-06-10,800,BBlunt
289,22,Ash Brown,2023-09-01,650,Godrej
290,17,Blue Black,2023-10-13,900,Revlon
291,23,Red Wine,2024-11-16,550,Streax
292,16,Red Wine,2024-05-12,650,Revlon
293,26,Blue Black,2023-08-08,700,Schwarzkopf
294,27,Blonde,2024-07-06,650,Garnier
295,24,Burgundy,2023-05-16,850,Revlon
296,24,Ash Brown,2025-01-10,800,Schwarzkopf
297,17,Blue Black,2024-08-07,850,L’Oreal
298,22,Dark Brown,2024-08-13,700,Garnier
299,25,Ash Brown,2024-04-29,850,Garnier
300,18,Mahogany,2023-09-06,700,Godrej
301,22,Red Wine,2025-03-14,650,BBlunt
302,27,Red Wine,2024-04-29,750,Godrej
303,25,Blue Black,2025-04-06,800,L’Oreal
304,24,Blue Black,2024-02-21,750,Schwarzkopf
305,19,Dark Brown,2023-07-14,800,Garnier
306,27,Mahogany,2023-04-07,900,Garnier
307,16,Blonde,2023-04-10,800,Streax
308,17,Blue Black,2024-11-05,850,Revlon
309,16,Red Wine,2024-03-17,850,BBlunt
310,27,Ash Brown,2023-12-29,750,BBlunt
311,20,Burgundy,2024-03-09,600,Revlon
312,20,Copper,2024-02-25,900,L’Oreal
313,26,Ash Brown,2024-04-23,700,BBlunt
314,22,Blonde,2025-01-16,850,Garnier
315,24,Burgundy,2023-02-25,900,L’Oreal
316,24,Ash Brown,2024-11-20,850,Godrej
317,18,Ash Brown,2024-10-31,850,Godrej
318,18,Mahogany,2024-10-23,650,L’Oreal
319,18,Copper,2023-04-11,750,Garnier
320,19,Dark Brown,2023-03-04,750,Streax
321,23,Blonde,2024-02-17,850,Godrej
322,21,Red Wine,2025-01-15,650,Schwarzkopf
323,23,Mahogany,2023-12-14,850,Garnier
324,16,Burgundy,2025-03-30,700,Revlon
325,23,Copper,2025-06-01,650,BBlunt
326,19,Red Wine,2023-04-22,850,Streax
327,26,Mahogany,2023-09-12,800,Streax
328,16,Copper,2023-07-16,600,L’Oreal
329,23,Dark Brown,2023-07-14,800,BBlunt
330,19,Blonde,2024-07-03,600,Revlon
331,21,Blue Black,2024-04-04,650,Godrej
332,23,Dark Brown,2023-05-24,800,Streax
333,19,Blue Black,2024-03-08,700,Schwarzkopf
334,18,Burgundy,2023-07-07,900,Garnier
335,24,Blue Black,2023-10-13,800,Streax
336,18,Mahogany,2024-04-18,750,Streax
337,24,Burgundy,2023-09-13,900,Garnier
338,28,Red Wine,2023-03-19,900,Revlon
339,17,Dark Brown,2024-03-29,600,L’Oreal
340,17,Dark Brown,2025-04-07,600,Streax
341,17,Blonde,2025-06-01,850,Streax
342,21,Burgundy,2025-05-26,700,BBlunt
343,18,Red Wine,2024-07-17,600,Schwarzkopf
344,28,Dark Brown,2023-04-11,600,Godrej
345,24,Burgundy,2023-02-21,850,L’Oreal
346,19,Ash Brown,2024-10-29,700,Schwarzkopf
347,16,Ash Brown,2024-07-07,800,Schwarzkopf
348,19,Burgundy,2025-05-06,650,Revlon
349,16,Dark Brown,2023-01-16,800,Revlon
350,20,Copper,2023-04-06,750,Garnier
351,19,Blue Black,2025-02-10,750,Godrej
352,23,Ash Brown,2025-05-19,600,L’Oreal
353,23,Copper,2023-08-31,900,Garnier
354,22,Copper,2023-06-20,750,Streax
355,18,Blonde,2024-02-21,650,Godrej
356,16,Red Wine,2024-05-12,600,BBlunt
357,16,Mahogany,2024-05-07,850,BBlunt
358,27,Ash Brown,2023-08-07,750,Garnier
359,26,Burgundy,2024-02-15,900,L’Oreal
360,18,Blue Black,2023-03-02,850,Godrej
361,21,Mahogany,2023-06-18,550,BBlunt
362,22,Red Wine,2024-01-24,550,BBlunt
363,21,Copper,2023-01-03,550,L’Oreal
364,21,Red Wine,2024-02-04,850,Garnier
365,21,Dark Brown,2023-09-29,550,Revlon
366,28,Ash Brown,2025-03-13,800,Streax
367,18,Red Wine,2025-03-14,550,Schwarzkopf
368,21,Red Wine,2024-04-10,600,Streax
369,23,Blue Black,2023-10-20,700,Godrej
370,26,Dark Brown,2024-03-09,800,BBlunt
371,26,Dark Brown,2024-12-14,900,Schwarzkopf
372,17,Copper,2025-01-18,700,Schwarzkopf
373,20,Blue Black,2025-03-13,600,Revlon
374,16,Blue Black,2024-07-23,900,Schwarzkopf
375,27,Burgundy,2024-11-08,600,L’Oreal
376,16,Red Wine,2025-01-05,650,Garnier
377,20,Red Wine,2024-05-13,900,Godrej
378,27,Dark Brown,2023-06-08,800,L’Oreal
379,28,Red Wine,2023-07-14,700,Garnier
380,18,Blonde,2023-10-31,550,L’Oreal
381,19,Blue Black,2023-08-11,600,BBlunt
382,18,Mahogany,2023-03-01,550,BBlunt
383,16,Dark Brown,2024-08-16,900,Revlon
384,16,Ash Brown,2025-01-23,700,L’Oreal
385,27,Dark Brown,2024-07-09,850,Streax
386,27,Copper,2023-03-04,800,Schwarzkopf
387,28,Mahogany,2025-02-04,750,BBlunt
388,20,Copper,2023-11-18,850,Garnier
389,21,Burgundy,2023-02-28,900,Revlon
390,18,Burgundy,2023-02-21,900,Schwarzkopf
391,27,Copper,2024-08-21,850,Godrej
392,24,Red Wine,2024-05-03,750,L’Oreal
393,20,Mahogany,2024-05-29,900,Streax
394,23,Red Wine,2025-05-23,900,BBlunt
395,28,Dark Brown,2024-06-27,600,Streax
396,16,Blonde,2023-06-11,650,Schwarzkopf
397,20,Burgundy,2023-02-28,900,Garnier
398,18,Burgundy,2024-06-04,550,L’Oreal
399,27,Mahogany,2023-03-24,600,Streax
400,16,Burgundy,2025-05-21,650,Garnier
401,19,Blonde,2023-07-10,550,Revlon
402,28,Blonde,2023-03-12,700,BBlunt
403,20,Blonde,2024-09-01,850,BBlunt
404,22,Ash Brown,2023-03-11,850,Revlon
405,16,Blonde,2024-11-22,750,Garnier
406,18,Blonde,2025-06-01,650,Streax
407,17,Ash Brown,2023-08-29,550,L’Oreal
408,24,Red Wine,2024-02-18,900,Garnier
409,25,Dark Brown,2023-05-03,600,L’Oreal
410,21,Blue Black,2024-08-06,550,Schwarzkopf
411,25,Burgundy,2023-09-10,600,Revlon
412,18,Blonde,2024-08-15,850,Godrej
413,23,Burgundy,2024-08-31,750,L’Oreal
414,23,Mahogany,2023-02-10,900,BBlunt
415,17,Burgundy,2024-09-26,750,Schwarzkopf
416,21,Copper,2023-03-25,550,BBlunt
417,22,Red Wine,2024-03-05,550,Schwarzkopf
418,17,Dark Brown,2024-11-04,600,BBlunt
419,26,Ash Brown,2024-08-20,600,Garnier
420,25,Burgundy,2024-08-01,650,Streax
421,17,Burgundy,2024-06-19,850,Garnier
422,25,Burgundy,2023-11-20,650,Garnier
423,16,Blue Black,2023-09-25,650,Streax
424,23,Blue Black,2023-07-29,550,Schwarzkopf
425,16,Mahogany,2024-11-16,800,Schwarzkopf
426,24,Ash Brown,2025-01-03,800,Streax
427,26,Burgundy,2023-11-18,800,BBlunt
428,21,Burgundy,2023-09-02,800,L’Oreal
429,22,Burgundy,2023-09-29,650,Schwarzkopf
430,28,Burgundy,2024-02-10,550,BBlunt
431,25,Blue Black,2023-05-15,800,L’Oreal
432,22,Red Wine,2024-11-18,900,Streax
433,25,Red Wine,2024-10-22,750,Garnier
434,18,Mahogany,2023-11-04,700,Schwarzkopf
435,17,Copper,2024-04-13,750,Godrej
436,24,Blonde,2023-11-20,550,Garnier
437,23,Ash Brown,2025-02-08,550,Revlon
438,28,Red Wine,2023-03-16,700,L’Oreal
439,27,Copper,2023-01-10,600,Godrej
440,25,Dark Brown,2024-04-14,600,Garnier
441,22,Dark Brown,2024-09-28,900,Schwarzkopf
442,24,Burgundy,2024-07-30,600,Godrej
443,19,Dark Brown,2023-04-13,650,BBlunt
444,28,Red Wine,2023-03-17,600,L’Oreal
445,19,Mahogany,2024-07-04,850,Revlon
446,16,Blonde,2023-08-07,650,BBlunt
447,23,Red Wine,2024-06-02,650,Godrej
448,27,Mahogany,2023-09-29,900,Garnier
449,18,Dark Brown,2023-05-16,600,L’Oreal
450,22,Blue Black,2023-12-24,600,Schwarzkopf
451,27,Blonde,2023-03-12,900,Revlon
452,17,Mahogany,2023-09-08,700,Garnier
453,17,Copper,2024-01-14,800,Revlon
454,22,Red Wine,2023-10-19,900,Schwarzkopf
455,21,Blue Black,2023-06-11,700,Streax
456,18,Copper,2024-03-24,650,L’Oreal
457,24,Mahogany,2025-05-03,700,Godrej
458,25,Mahogany,2024-07-10,650,Revlon
459,28,Dark Brown,2024-12-21,550,L’Oreal
460,21,Copper,2023-11-06,650,Revlon
461,25,Red Wine,2024-09-18,650,Garnier
462,25,Blonde,2025-04-06,700,Revlon
463,21,Blue Black,2024-10-31,800,Streax
464,16,Dark Brown,2024-06-25,550,Garnier
465,19,Burgundy,2023-01-09,750,Garnier
466,25,Ash Brown,2024-11-14,750,L’Oreal
467,21,Blonde,2025-04-16,800,BBlunt
468,21,Dark Brown,2024-07-21,750,Schwarzkopf
469,26,Blue Black,2023-11-03,550,Revlon
470,27,Copper,2024-11-10,600,Godrej
471,20,Mahogany,2023-04-17,550,Garnier
472,16,Copper,2023-05-18,700,BBlunt
473,23,Dark Brown,2023-09-28,900,Garnier
474,20,Blue Black,2023-04-29,850,BBlunt
475,27,Copper,2023-04-20,650,BBlunt
476,27,Copper,2025-01-30,650,Godrej
477,27,Ash Brown,2024-07-20,900,BBlunt
478,20,Red Wine,2023-06-09,700,Godrej
479,22,Dark Brown,2023-10-06,700,L’Oreal
480,19,Ash Brown,2023-10-16,850,Garnier
481,21,Dark Brown,2024-09-11,850,Godrej
482,28,Burgundy,2023-08-04,650,Schwarzkopf
483,19,Burgundy,2025-01-04,850,Streax
484,18,Ash Brown,2023-12-18,850,Garnier
485,22,Blonde,2023-07-28,850,Streax
486,23,Blonde,2024-12-04,900,Schwarzkopf
487,19,Copper,2024-10-11,800,Revlon
488,28,Copper,2025-05-23,600,Schwarzkopf
489,17,Mahogany,2023-09-28,850,L’Oreal
490,27,Burgundy,2024-06-01,600,Revlon
491,25,Dark Brown,2024-05-15,600,Revlon
492,18,Mahogany,2023-09-15,700,BBlunt
493,16,Burgundy,2025-05-16,850,Schwarzkopf
494,23,Ash Brown,2023-02-22,650,BBlunt
495,18,Blonde,2023-04-05,800,Schwarzkopf
496,27,Copper,2024-10-11,650,Revlon
497,25,Blonde,2024-03-09,850,BBlunt
498,22,Ash Brown,2025-04-29,650,Streax
499,25,Mahogany,2023-10-11,850,Garnier
500,20,Mahogany,2023-02-15,800,Schwarzkopf
501,25,Blue Black,2023-01-04,550,Schwarzkopf
502,20,Copper,2023-12-08,800,BBlunt
503,22,Copper,2025-02-28,900,Schwarzkopf
504,24,Dark Brown,2023-05-14,550,Revlon
505,27,Copper,2024-10-14,750,BBlunt
506,20,Burgundy,2023-09-26,550,BBlunt
507,16,Mahogany,2023-06-15,600,Godrej
508,25,Ash Brown,2025-01-29,900,Streax
509,25,Mahogany,2024-03-28,600,Streax
510,16,Blonde,2024-07-18,900,Godrej
511,17,Burgundy,2024-12-23,800,Revlon
512,21,Copper,2024-03-13,600,Garnier
513,24,Dark Brown,2024-07-28,600,Schwarzkopf
514,23,Dark Brown,2023-01-10,750,L’Oreal
515,28,Dark Brown,2023-04-25,600,Schwarzkopf
516,20,Red Wine,2023-03-19,700,L’Oreal
517,16,Blue Black,2024-12-08,700,Streax
518,28,Burgundy,2023-06-02,700,Revlon
519,22,Blonde,2024-07-12,550,Garnier
520,20,Copper,2023-02-06,800,Garnier
521,21,Blonde,2025-05-04,800,Garnier
522,28,Blonde,2024-01-14,650,Godrej
523,22,Copper,2024-08-19,750,Revlon
524,18,Blonde,2024-07-19,700,L’Oreal
525,27,Dark Brown,2023-06-01,700,Garnier
526,25,Ash Brown,2024-03-16,600,Revlon
527,18,Blue Black,2023-05-11,700,Schwarzkopf
528,20,Red Wine,2023-02-12,600,L’Oreal
529,21,Blonde,2023-11-12,600,Streax
530,24,Blonde,2024-01-09,650,Godrej
531,28,Mahogany,2025-03-26,550,BBlunt
532,27,Blue Black,2025-05-31,600,L’Oreal
533,20,Burgundy,2023-02-10,600,Streax
534,16,Blue Black,2024-01-02,800,Streax
535,19,Blue Black,2023-08-04,650,Streax
536,20,Copper,2024-11-29,600,Schwarzkopf
537,27,Copper,2023-09-13,750,L’Oreal
538,25,Copper,2024-11-13,550,L’Oreal
539,25,Red Wine,2023-04-16,900,BBlunt
540,20,Dark Brown,2023-12-29,750,Garnier
541,22,Blue Black,2025-03-09,700,Schwarzkopf
542,19,Red Wine,2024-07-27,550,Streax
543,16,Blonde,2024-02-21,700,BBlunt
544,20,Copper,2024-09-27,800,L’Oreal
545,22,Blonde,2025-02-06,850,Schwarzkopf
546,25,Copper,2023-06-08,850,Godrej
547,25,Ash Brown,2023-08-31,850,L’Oreal
548,21,Red Wine,2023-06-16,600,Godrej
549,20,Red Wine,2025-03-30,650,Revlon
550,19,Dark Brown,2025-04-10,750,Godrej
551,17,Burgundy,2023-07-01,700,L’Oreal
552,19,Mahogany,2024-02-27,600,BBlunt
553,25,Blue Black,2023-01-26,850,L’Oreal
554,25,Burgundy,2023-07-03,750,L’Oreal
555,18,Red Wine,2025-01-24,750,Revlon
556,25,Burgundy,2023-12-07,800,Streax
557,16,Ash Brown,2025-03-12,800,Garnier
558,23,Mahogany,2024-02-26,850,L’Oreal
559,20,Dark Brown,2025-04-01,700,Revlon
560,28,Red Wine,2024-11-16,850,BBlunt
561,19,Red Wine,2025-01-22,850,Revlon
562,23,Blue Black,2025-04-10,600,Revlon
